Question,Ground_Truth
Thành phố nào Aage Bohr sinh ra?,Copenhagen
Abdus Salam sinh ở quốc gia nào thuộc Anh?,Ấn Độ Thuộc Anh
Ai là người đồng nghiệp nghiên cứu nổi tiếng của Abdus Salam?,/Riazuddin
Albert Abraham Michelson đã nhận được giải thưởng nào trong lĩnh vực Vật Lý?,Giải Nobel Vật Lý
Ahmed Zewail đã từng đạt được giải thưởng nào trong lĩnh vực hóa học?,Giải Wolf
Adolf Von Baeyer sinh ở thành phố nào?,Berlin
Hội nào đã trao giải thưởng cho Akira Yoshino?,Institute Of Electrical And Electronics Engineers
Thành phố nào mà Abram Ioffe đã mất tại đó?,Leningrad
Aage Bohr sinh sống ở quốc gia nào?,Đan Mạch
Aaron Klug sinh ở đâu?,Želva
Danh sách người đoạt Giải Nobel Sinh Lý Học Và Y Khoa bao gồm những ai?,Danh Sách Người Đoạt Giải Nobel Sinh Lý Học Và Y Khoa
Ai là người hướng dẫn luận án tiến sĩ của Alan Turing?,/Alonzo Church
Ai là người đã qua đời tại Cheshire?,Cheshire
Bạn đang làm việc tại trường đại học nào?,/Meijo University
Albert Abraham Michelson mất ở đâu?,"Pasadena, California"
Năm nào Ahmed Zewail đã giành Giải thưởng?,1999
Albert Einstein làm việc tại đâu?,/Viện Kaiser Wilhelm
Ai là những người đoạt giải Nobel Hóa Học?,Danh Sách Người Đoạt Giải Nobel Hóa Học
Alan Turing làm việc tại đâu?,Đại Học Cambridge
Ai là người đoạt giải L'Oréal-UNESCO Cho Phụ Nữ Trong Khoa Học?,Giải L'Oréal-UNESCO Cho Phụ Nữ Trong Khoa Học
Albert Abraham Michelson sinh ở đâu?,Strzelno
Albert Einstein có liên quan đến đâu?,Đế Quốc Đức
Học vị cao nhất của Akira Yoshino là gì?,Thạc Sĩ Khoa Học
Quốc gia nào là quê hương của Aaron Ciechanover?,Palestine
Ai là người hướng dẫn luận án tiến sĩ của Albert Abraham Michelson?,Hermann Helmholtz
Albert Fert làm việc tại đâu?,Trung Tâm Nghiên Cứu Khoa Học Quốc Gia Pháp
Ai là người hướng dẫn tiến sĩ của Alan Turing?,Không có người hướng dẫn tiến sĩ
Adam Riess làm việc ở đâu?,/Viện Khoa Học Kính Thiên Văn Không Gian
Adolf Butenandt làm việc tại đâu?,/Viện Kaiser Wilhelm
Học vị cao nhất mà Abhijit Banerjee đạt được là gì?,Doctor Of Philosophy
Ai là người tiếp tục nghiên cứu và phát triển công trình của Albert Abraham Michelson trong lĩnh vực khoa học?,Robert Millikan
Abram Ioffe sinh ở đâu?,Poltava (Tỉnh Của Đế Quốc Nga
Ai là người đồng sáng lập Phối ngẫu cùng với Abhijit Banerjee?,Esther Duflo
Abhijit Banerjee sinh ở đâu?,Mumbai
Ai là người đồng nghiệp nổi tiếng của Adolf Von Baeyer trong lĩnh vực nghiên cứu?,/Carl Gräbe
Albert Abraham Michelson công tác ở đâu?,/Đại Học Clark
Ai đã được trao Giải Nobel Vật Lý?,Giải Nobel Vật Lý
Ai là người hướng dẫn luận án tiến sĩ của Abhijit Banerjee?,Không có người hướng dẫn tiến sĩ
Nơi Adam Riess sinh ra là đâu?,"Washington, D.C"
