Question,Ground_Truth
Craig Mello đã theo học ở trường lớp nào?,Đại Học Brown
Ai là người đồng tác giả với Daniel Kahneman trong nghiên cứu nổi tiếng?,/Ziv Carmon
Eisaku Satō qua đời ở đâu?,Tokyo
Ai là người nghiên cứu sinh nổi tiếng trong Triple Edward Mills Purcell?,/Charles Pence Slichter
Năm sinh của Edward Lawrie Tatum là bao nhiêu?,1909
Ai là đồng nghiệp nổi tiếng của Emil Fischer?,/Otto Ruff
Nơi sinh của David Hume là ở đâu?,Edinburgh
Quốc gia nào là nơi sinh của nhà văn Doris Lessing?,Iran
Edward Lawrie Tatum sinh ở bang nào?,Colorado
Ai là người hướng dẫn luận án tiến sĩ của Donald J. Cram?,Không có người hướng dẫn tiến sĩ
Trường đại học nào mà Donald A. Glaser đã giảng dạy?,/Đại Học Tây Case
Ai là những người đã được trao Giải Nobel Sinh Lý Học Và Y Khoa?,Danh Sách Người Đoạt Giải Nobel Sinh Lý Học Và Y Khoa
Ở đâu David Card sinh?,"/Guelph, Ontario"
Duncan Haldane là người nước nào?,Người Slovenia
Ai là người được Eduard Buchner hướng dẫn luận án tiến sĩ?,Adolf Von Baeyer
Quốc tịch của Donald J. Cram là gì?,Hoa Kỳ
David MacMillan làm việc tại đâu?,Viện Công Nghệ California
Ai là người đoạt giải Nobel Vật Lý năm nào?,Giải Nobel Vật Lý
Edward Adelbert Doisy mất tại tiểu bang nào?,Missouri
Donald A. Glaser sinh ở đâu?,Hoa Kỳ
Ei-Ichi Negishi làm việc tại công ty nào?,/Teijin
David Hume sinh vào ngày nào?,/Old Style
Edmund Phelps làm việc ở đâu?,Đại Học Pennsylvania
"Trường đại học nào mà Earl Wilbur Sutherland, Jr đã tốt nghiệp?",/Đại Học Washburn
Donald J. Cram đã nhận được giải thưởng nào?,Huân Chương Khoa Học Quốc Gia
Ai là người được đề cử giải Nobel vì công trình nghiên cứu về protein và cấu trúc protein?,/Tom Blundell
Ai là người đồng nghiệp nổi tiếng của Edward Teller trong lĩnh vực nghiên cứu?,/Boris Jacobsohn
Trường nào mà Donald A. Glaser đã giảng dạy và làm việc?,Viện Công Nghệ California
Ai là người mà Doris Lessing đã mất?,Anh
Ai đã được trao Giải Nguyên Tử Vì Hòa Bình?,Giải Nguyên Tử Vì Hòa Bình
Quốc tịch của nhà văn Elfriede Jelinek là gì?,Áo
Daniel Nathans đã nhận được giải thưởng gì?,Huân Chương Khoa Học Quốc Gia
Ai đã được trao Giải thưởng Elias James Corey và Huân Chương Khoa Học Quốc Gia?,Huân Chương Khoa Học Quốc Gia
David J. Wineland nơi công tác ở đâu?,"/Đại Học Colorado, Boulder"
Quốc tịch của Duncan Haldane là gì?,Người Anh
Nơi Dudley R. Herschbach công tác là đâu?,Đại Học Harvard
Ai là người được ảnh hưởng bởi Edward Victor Appleton?,/Miles Barnett
Bạn biết trường nào Dominique Pire đã học tại không?,/Đại Học Công Giáo Leuven
Edward Teller đã nhận được giải thưởng nào?,/Harvey Prize
Edwin McMillan học tại trường đại học nào?,Đại Học Princeton
"""Đâu là địa điểm mà Copernicus mất?""",/Warmia
Quốc tịch của David J. Wineland là gì?,Hoa Kỳ
Ernest Lawrence mất ở đâu?,"Palo Alto, California"
Ai là vợ của Edward Teller?,/Augusta H. Teller
Emil Fischer học tại trường lớp nào?,Đại Học Bonn
Ai là người hướng dẫn luận án tiến sĩ của David J. Wineland?,"Norman Foster Ramsey, Jr"
"Nơi mà Earl Wilbur Sutherland, Jr sinh là đâu?",/Burlingame
Donald A. Glaser đã nhận được giải thưởng nào?,Giải Nobel Vật Lý
Quốc tịch của Cyril Norman Hinshelwood là gì?,Anh
Emilio G. Segrè học tại trường đại học nào?,/Đại Học Rome La Sapienza
Drew Weissman đã nhận giải thưởng nào từ VinFuture?,VinFuture
Donald J. Cram đã mất ở đâu?,California
Quốc tịch của Edward C. Prescott là gì?,Hoa Kỳ
Ai là người hướng dẫn luận án tiến sĩ của Donna Strickland?,Không có người hướng dẫn tiến sĩ
Doris Lessing làm nghề gì?,Nhà Văn
Ai là người hướng dẫn luận án tiến sĩ của Duncan Haldane?,Philip Warren Anderson
David Julius làm việc tại đâu?,"Đại Học California, San Francisco"
Ai đã nhận Giải Louisa Gross Horwitz trong lĩnh vực mà Elizabeth Blackburn đã đoạt giải thưởng?,Giải Louisa Gross Horwitz
Quốc tịch của Edward B. Lewis là gì?,Hoa Kỳ
Ai là người hướng dẫn luận án tiến sĩ của Ernest Lawrence?,/William Francis Gray Swann
Ai là /Tiến Sĩ Y Khoa trong Triple Edwin G. Krebs - Trường lớp - /Tiến Sĩ Y Khoa?,/Tiến Sĩ Y Khoa
Dorothy Hodgkin mất ở đâu?,/Ilmington
Daniel Kahneman làm việc ở đâu?,"/Đại Học Hebrew, Jerusalem"
Ai là người được liên kết với Edward Victor Appleton trong Triple đó?,/Charles Oatley
Ai là người hướng dẫn luận án tiến sĩ của David Julius?,/Jeremy Thorner
Quốc tịch của Daron Acemoglu là gì?,Hoa Kỳ
Ai đã nhận /Huy Chương Hughes?,/Huy Chương Hughes
Ở thành phố nào Dudley R. Herschbach sinh ra?,"San Jose, California"
Dennis Gabor đã được trao giải thưởng nào?,/Huân Chương Danh Dự IEEE
David Card công tác tại đâu?,Đại Học California Tại Berkeley
Ở đâu Duncan Haldane sinh ra?,Luân Đôn
Derek Barton làm việc tại đâu?,/Institut De Chimie Des Substances Naturelles
Donald A. Glaser đến từ trường nào?,/Trường Kỹ Thuật Case
Nơi nào mà Edward Victor Appleton làm việc?,Phòng Thí Nghiệm Cavendish
Giải thưởng nào được Daniel Kahneman đoạt được năm 2002?,/Giải Thưởng Grawemeyer
Edward Victor Appleton làm việc ở đâu?,Đại Học Cambridge
Quốc tịch của Edward Calvin Kendall là gì?,Hoa Kỳ
Trường nào mà Edwin McMillan từng làm giáo sư?,Học Viện Công Nghệ California
Bạn có thể cung cấp liên kết đến luận án của Edward Condon không?,Https://Search.Proquest.Com/Docview/301737248/
Doris Lessing đã từng nhận được giải thưởng nào dành cho tiểu thuyết nước ngoài?,Giải Médicis Cho Tiểu Thuyết Nước Ngoài
Ai là người cùng Daniel Kahneman tham gia vào nghiên cứu nổi tiếng?,/Anat Ninio
Ai đã được trao Giải Nobel Vật Lý?,Giải Nobel Vật Lý
Quốc tịch của Daniel Kahneman là gì?,Israel
Dmitry Muratov làm nghề gì?,TV Presenter
Ai là cộng sự nghiên cứu nổi tiếng của Emil Fischer?,/Julius Tafel
"Câu hỏi: Daron Acemoglu đã được trao giải thưởng nào được coi là ""Nobel thứ hai trong lĩnh vực Kinh tế""?",Giải John Bates Clark
Trường đại học mà Edward Condon từng giảng dạy là gì?,"Đại Học California, Berkeley"
Quốc tịch của Ei-Ichi Negishi là gì?,Nhật Bản
Ai là người hướng dẫn luận án tiến sĩ của Emilio G. Segrè?,Enrico Fermi
Nơi Emilio G. Segrè công tác là đâu?,/Đại Học Rome La Sapienza
Nơi Edward Calvin Kendall sinh là đất nước nào?,Hoa Kỳ
Douglass North làm việc ở đâu?,Đại Học Washington
Ai là người hướng dẫn luận án tiến sĩ của Werner Heisenberg?,Werner Heisenberg
Dario Fo sinh ở quốc gia nào?,Ý
Nơi sinh của Cyril Norman Hinshelwood là ở đâu?,Luân Đôn
Ở bang nào Dudley R. Herschbach sinh ra?,California
Ai là người hướng dẫn luận án tiến sĩ của Donna Strickland?,Gérard Mourou
Emil Fischer làm việc tại đâu?,/Đại Học Erlangen
Quốc tịch của Doris Lessing là gì?,Vương Quốc Liên Hiệp Anh Và Bắc Ireland
Edward C. Prescott được trao giải thưởng Nobel trong lĩnh vực nào?,Kinh Tế
Năm nào Elias James Corey đã nhận Giải thưởng?,2004
Nơi David MacMillan công tác là gì?,Đại Học Harvard
Ernest Rutherford đã mất ở đâu?,Cambridge
Elie Wiesel đã nhận được giải thưởng nào?,/Congressional Gold Medal
David MacMillan đã đạt được học vị gì?,Cử Nhân Khoa Học
Quốc tịch của Elias James Corey là gì?,Mỹ
Didier Queloz đã từng đoạt giải thưởng nào trong lĩnh vực của mình?,Giải Nobel Vật Lý
Erik Axel Karlfeldt sinh ở vùng nào?,Dalarna
Edward Calvin Kendall làm việc tại đâu?,Đại Học Princeton
Ai là thành phố mà Dario Fo mất?,Milan
Ai là người hướng dẫn luận án tiến sĩ của Daniel McFadden?,Không có người hướng dẫn tiến sĩ
Ở đâu Eric Maskin sinh ra?,Thành Phố New York
Edward Victor Appleton đã đoạt giải thưởng danh giá nào trong lĩnh vực Vật Lý?,Giải Nobel Vật Lý
Nơi sinh của Edwin G. Krebs là đâu?,/Lansing
David MacMillan đã đạt học vị ở đâu?,Đại Học Glasgow
Ai là người hướng dẫn luận án tiến sĩ của David Julius?,Randy Schekman
Emil Fischer sinh ở đâu?,/Euskirchen
Trường đại học nào mà Edward Teller từng làm giáo sư?,/University Of Munich
Quốc tịch của Daniel Nathans là gì?,Hoa Kỳ
Nơi sinh của Donald A. Glaser là ở đâu?,Ohio
Corneille Heymans mất ở đâu?,/Knokke
Edward Victor Appleton làm việc ở đâu?,Đại Học Hoàng Đế Luân Đôn
Bạn biết Dudley R. Herschbach đến từ trường lớp nào?,Đại Học Stanford
Enrico Fermi làm việc tại đâu?,Đại Học Leiden
Ai đã được trao Giải Nobel Vật Lý?,Giải Nobel Vật Lý
Năm nào Dorothy Hodgkin đã nhận Giải thưởng?,1982
Enrico Fermi sinh ra ở đâu?,Vương Quốc Ý (1861-1946
Thành phố nào Desmond Tutu đã mất?,Cape Town
Edward Calvin Kendall mất ở tiểu bang nào?,New Jersey
Ai đã được trao Huy Chương Frisch?,Huy Chương Frisch
Ai là người cộng tác với Emil Fischer trong các nghiên cứu nổi tiếng?,Otto Diels
Quốc tịch của Douglass North là gì?,Hoa Kỳ
Giải thưởng nào mà Daniel Kahneman đã nhận?,/Giải Thưởng Tưởng Niệm Nobel Về Khoa Học Kinh Tế
Quốc gia nào là quê hương của Dan Shechtman?,Israel
Emil Fischer sinh sống ở quốc gia nào?,Đế Quốc Đức
Douglass North làm việc ở đâu?,Đại Học Cambridge
Ai đã được trao Giải Nobel Sinh Lý Học Hoặc Y Học?,Giải Nobel Sinh Lý Học Hoặc Y Học
"Trong trường học của Elizabeth Blackburn, ngôn ngữ chính thức được sử dụng là gì?",Anh
Edmund Phelps làm việc tại tổ chức nào?,/Cowles Foundation
Quốc tịch của Elie Wiesel là gì?,Hoa Kỳ
David J. Thouless làm việc tại đâu?,Đại Học Washington
Emil Fischer làm việc tại đâu?,/Đại Học Würzburg
Ai đã được trao Giải Nghiên Cứu Y Học Lâm Sàng Lasker-DeBakey?,Giải Nghiên Cứu Y Học Lâm Sàng Lasker-DeBakey
Emil Fischer sinh ở quốc gia nào?,Đức
Ai là người hướng dẫn luận án tiến sĩ của David J. Thouless?,Hans Bethe
Ai là người đồng nghiệp và đồng nghiệp của Elizabeth Blackburn trong việc phát hiện ra enzym telomerase?,Carol W. Greider
Emil Fischer làm việc ở nơi nào vào năm nào?,1888
Nơi nào Dennis Gabor mất?,Luân Đôn
Desmond Tutu sinh ở đâu?,/Klerksdorp
Ai là người được đề cử trong Triple này?,/Charles Critchfield
Craig Mello đã nhận giải thưởng nào?,Giải Wiley
Nơi Daron Acemoglu sinh là ở đâu?,Istanbul
Ai là người được nhắc đến trong Triple: Dorothy Hodgkin - Các nghiên cứu sinh nổi tiếng - /Judith Howard?,/Judith Howard
Bạn học vị của David MacMillan là gì tại đâu?,"/Đại Học California, Irvine"
Dominique Pire sinh ở đâu?,Bỉ
Quốc tịch của Eric Maskin là gì?,Hoa Kỳ
Bạn có biết Copernicus đã học tại trường lớp nào trước khi vào Đại Học Jagiellonia không?,Đại Học Jagiellonia
Dmitry Muratov sinh ở đâu?,Cộng Hòa Xã Hội Chủ Nghĩa Xô Viết Liên Bang Nga
Nơi nào Douglass North sinh ra?,"Cambridge, Massachusetts"
Edward Victor Appleton mất ở đâu?,Scotland
