Question,Ground_Truth
Quốc gia nào mà Alexander Prokhorov từng có quốc tịch?,Liên Xô
Barack Obama học tại trường nào?,/Trường Punahou
Albert Einstein đã từng nhận được giải thưởng nào từ Hội Thiên Văn Học Hoàng Gia?,Huy Chương Vàng Của Hội Thiên Văn Học Hoàng Gia
Quốc tịch của August Krogh là gì?,Đan Mạch
Quốc tịch của Charles Nicolle là gì?,Pháp
Abiy Ahmed đã đạt được bằng cấp nào trong lĩnh vực giáo dục?,Cử Nhân
Allvar Gullstrand sinh ra ở đất nước nào?,Thụy Điển
Quốc tịch của André Michel Lwoff là gì?,Pháp
Dan Shechtman đã đoạt giải thưởng nào trong lĩnh vực Vật Lý?,Giải Wolf Vật Lý
Nơi sinh của Alexander Fleming là ở đâu?,/Lochfield
David MacMillan là thành viên của Viện Hàn Lâm Khoa Học Quốc Gia hay không?,/Thành Viên Của Viện Hàn Lâm Khoa Học Quốc Gia
Ai đã được trao Huy Chương Corday-Morgan?,/Huy Chương Corday-Morgan
Craig Mello đã nhận giải thưởng nào?,Giải Wiley
Danh sách người đoạt Giải Nobel Sinh Lý Học và Y Khoa bao gồm những ai?,Danh Sách Người Đoạt Giải Nobel Sinh Lý Học Và Y Khoa
Thành phố nào Adolf Otto Reinhold Windaus sinh ra?,Berlin
Danh sách các người đã đoạt Giải Nobel Hóa Học bao gồm ai?,Danh Sách Người Đoạt Giải Nobel Hóa Học
Trường nào Carol W. Greider đã tốt nghiệp?,/Davis Senior High School
Năm nào Ahmed Zewail đã giành Giải thưởng?,1997
Ai là người hướng dẫn luận án tiến sĩ của Abdus Salam?,/Paul Matthews
Ai là người được đề cập trong Triple: Arthur Eddington - Các nghiên cứu sinh nổi tiếng - /Hermann Bondi?,/Hermann Bondi
Ai là người được đề cập trong Triple: Charles T. R. Wilson - Các nghiên cứu sinh nổi tiếng - Cecil Frank Powell?,Cecil Frank Powell
Ai là người hướng dẫn luận án tiến sĩ của Alfred Werner?,/Marcellin Berthelot
Ai là người hướng dẫn luận án tiến sĩ của Adolf Butenandt?,Không có người hướng dẫn tiến sĩ
Ai đã nhận Giải John J. Carty Cho Thăng Tiến Khoa Học?,Giải John J. Carty Cho Thăng Tiến Khoa Học
Adolf Butenandt làm việc tại đâu?,/Viện Kaiser Wilhelm
Albert Szent-Györgyi sinh ở đất nước nào?,Hungary
Charles K. Kao đã đoạt giải thưởng nào?,/Giải Thưởng Nhật Bản
Alexis Carrel sinh ở quốc gia nào?,Pháp
Năm nào Albert Fert đã giành Giải thưởng?,2007
Năm nào Augusto Pinochet sinh ra?,1915
Ai là người đã giành Giải thưởng /Global Energy Prize?,/Global Energy Prize
Nơi David Julius công tác là đâu?,"Đại Học California, San Francisco"
Arnold Sommerfeld sinh ở đâu?,Kaliningrad
Quốc gia nào Claude Simon sinh ra?,Madagascar
Benjamin List học vị gì?,Đại Học Tự Do Berlin
Quốc tịch của Alan Turing là gì?,Anh
Đâu là nơi sinh của Donald A. Glaser?,Ohio
Arnold Sommerfeld làm việc tại trường đại học nào?,/Đại Học Kĩ Thuật Clausthal
Ai là người đã nhận Huy Chương John Bates Clark?,Huy Chương John Bates Clark
"Ai là người có liên quan đến Triple ""Abdus Salam - Các nghiên cứu sinh nổi tiếng - /Yuval Ne'Eman""?",/Yuval Ne'Eman
Quốc tịch của Arieh Warshel là gì?,/Israelis
André Gide làm nghề gì?,Nhà Văn
Quốc tịch của Alfred Sturtevant là gì?,Hoa Kỳ
Baron Todd mất ở đâu?,/Cambrigdeshire
Alan Greenspan sinh ở thành phố nào?,New York
Abdus Salam đã nhận được giải thưởng nào mà có tên gọi là gì?,Huy Chương Tate
Quốc tịch của Craig Mello là gì?,United States
Ai là người có liên quan đến Triple: Abdus Salam - Các nghiên cứu sinh nổi tiếng -?,/Kamaluddin Ahmed
Quốc tịch của Bert Sakmann là gì?,Đức
Arthur B. McDonald làm việc tại đâu?,Princeton University
Ai là người được trao danh hiệu Bharat Ratna?,/Bharat Ratna
Danh sách những người nào đã đoạt Giải Nobel Sinh Lý Học Và Y Khoa?,Danh Sách Người Đoạt Giải Nobel Sinh Lý Học Và Y Khoa
Carl David Anderson làm việc tại đâu?,Viện Công Nghệ California
Ngày nào Bjørnstjerne Bjørnson sinh?,8 Tháng 12
Năm nào Boris Pasternak mất đi?,1960
Anatole France có quốc tịch của quốc gia nào?,Pháp
